Norsonic RTA840

Generated: Tue 23 Mar 2021 20:31:21 (sdf2txt, ver 1.09)
Title: No measurement title specified

Setup information
Measurement mode: Lvl-FFT-Sgl
Master Instrument Mode: Normal

Lower frequency: 0.00Hz
Upper frequency: 781.25Hz
Window 1: Hanning
Measurement start: Mon 15 Mar 2021 22:40:17
Number of averages: 20
Trigger condition: Manual

Channel 1:
Input: Line
Calibration: 0.0
Reference level (0dB): 2.00e-05
Fullscale: 95dB
High pass filter: 20Hz

"3CD09.SDF"
"Period = 0"
"              X[Hz]",     "Auto Pwr Spec",     
"             745.12",               -28.7,     
"             746.09",               -25.4,     
"             747.07",               -24.7,     
"             748.05",               -26.0,     
"             749.02",               -17.9,     
"             750.00",               -12.1,     
"             750.98",               -17.6,     
"             751.95",               -27.9,     
"             752.93",               -28.9,     
"             753.91",               -30.5,     
"             754.88",               -30.3,     
"             755.86",               -29.1,     
"             756.84",               -28.2,     
"             757.81",               -29.4,     
"             758.79",               -31.0,     
"             759.77",               -30.5,     
"             760.74",               -30.1,     
"             761.72",               -30.8,     
"             762.70",               -28.3,     
"             763.67",               -28.6,     
"             764.65",               -29.9,     
"             765.63",               -30.2,     
"             766.60",               -30.1,     
"             767.58",               -30.3,     
"             768.55",               -30.1,     
"             769.53",               -29.8,     
"             770.51",               -29.8,     
"             771.48",               -31.1,     
"             772.46",               -32.1,     
"             773.44",               -30.0,     
"             774.41",               -30.1,     
"             775.39",               -31.0,     
"             776.37",               -28.7,     
"             777.34",               -28.0,     
"             778.32",               -29.7,     
"             779.30",               -29.8,     
"             780.27",               -30.7,     
"             781.25",               -30.3,     
